Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Joh,Hoe,Sin,Un
40,38,Ninetales,73,76,75,81,100,100,505,Fire,,OU,Flash Fire,,Drought,19.9,40,1 SpD/1 Spe,178,Yellow,,F (75%),Field,,75,1000000,Fire Stone,126,154,,
42,39,Jigglypuff,115,45,20,45,25,20,270,Normal,,NU,Cute Charm,,Friend Guard,5.5,20,2 HP,76,Pink,,F (75%),Fairy,,170,800000,Friendship,44,138,,
43,40,Wigglytuff,140,70,45,75,50,45,425,Normal,,NU,Cute Charm,,Frisk,12,40,3 HP,109,Pink,,F (75%),Fairy,,50,800000,Moon Stone,45,139,,
44,41,Zubat,40,45,35,30,40,55,245,Poison,Flying,NU,Inner Focus,,Infiltrator,7.5,20,1 Spe,54,Purple,3840,Neutral,Flying,,255,1000000,,37,63,28,
45,42,Golbat,75,80,70,65,75,90,455,Poison,Flying,NU,Inner Focus,,Infiltrator,55,80,2 Spe,171,Purple,,Neutral,Flying,,90,1000000,Lv. 22,38,64,29,
47,43,Oddish,45,50,55,75,65,30,320,Grass,Poison,NU,Chlorophyll,,Run Away,5.4,20,1 SpA,78,Blue,5120,Neutral,Grass,,255,1059860,,83,88,,
48,44,Gloom,60,65,70,85,75,40,395,Grass,Poison,NU,Chlorophyll,,Stench,8.6,20,2 SpA/1 SpD,132,Blue,,Neutral,Grass,,120,1059860,Lv. 22,84,89,,
49,45,Vileplume,75,80,85,100,90,50,480,Grass,Poison,NU,Chlorophyll,,Effect Spore,18.6,40,3 SpA,184,Red,,Neutral,Grass,,45,1059860,Leaf Stone,85,90,,
51,46,Paras,35,70,55,45,55,25,285,Bug,Grass,NU,Effect Spore,Dry Skin,Damp,5.4,20,1 Atk,70,Red,5120,Neutral,Bug,Grass,190,1000000,,70,,,
52,47,Parasect,60,95,80,60,80,30,405,Bug,Grass,NU,Effect Spore,Dry Skin,Damp,29.5,60,2 Atk/1 Def,128,Red,,Neutral,Bug,Grass,75,1000000,Lv. 24,71,,,
53,48,Venonat,60,55,50,40,55,45,305,Bug,Poison,NU,Compoundeyes,Tinted Lens,Run Away,30,60,1 SpD,75,Purple,5120,Neutral,Bug,,190,1000000,,108,,,
54,49,Venomoth,70,65,60,90,75,90,450,Bug,Poison,RU,Shield Dust,Tinted Lens,Wonder Skin,12.5,40,1 SpA/1 Spe,138,Purple,,Neutral,Bug,,75,1000000,Lv. 31,109,,,
55,50,Diglett,10,55,25,35,45,95,265,Ground,,NU,Sand Veil,Arena Trap,Sand Force,0.8,20,1 Spe,81,Brown,5120,Neutral,Field,,255,1000000,,132,,,
56,51,Dugtrio,35,80,50,50,70,120,405,Ground,,NU,Sand Veil,Arena Trap,Sand Force,33.3,60,2 Spe,153,Brown,,Neutral,Field,,50,1000000,Lv. 26,133,,,
57,52,Meowth,40,45,35,40,40,90,290,Normal,,NU,Pickup,Technician,Unnerve,4.2,20,1 Spe,69,Yellow,5120,Neutral,Field,,255,1000000,,136,,,
58,53,Persian,65,70,60,65,65,115,440,Normal,,NU,Limber,Technician,Unnerve,32,60,2 Spe,148,Yellow,,Neutral,Field,,90,1000000,Lv. 28,137,,,
59,54,Psyduck,50,52,48,65,50,55,320,Water,,NU,Damp,Cloud Nine,Swift Swim,19.6,40,1 SpA,80,Yellow,5120,Neutral,Water 1,Field,190,1000000,,138,158,43,
60,55,Golduck,80,82,78,95,80,85,500,Water,,NU,Damp,Cloud Nine,Swift Swim,76.6,80,2 SpA,174,Blue,,Neutral,Water 1,Field,75,1000000,Lv. 33,139,159,44,
61,56,Mankey,40,80,35,35,45,70,305,Fighting,,NU,Vital Spirit,Anger Point,Defiant,28,60,1 Atk,74,Brown,5120,Neutral,Field,,190,1000000,,134,,,
62,57,Primeape,65,105,60,60,70,95,455,Fighting,,RU,Vital Spirit,Anger Point,Defiant,32,60,2 Atk,149,Brown,,Neutral,Field,,75,1000000,Lv. 28,135,,,
63,58,Growlithe,55,70,45,70,50,60,350,Fire,,NU,Intimidate,Flash Fire,Justified,19,40,1 Atk,91,Brown,5120,M (75%),Field,,190,1250000,,127,,,
64,59,Arcanine,90,110,80,100,80,95,555,Fire,,UU,Intimidate,Flash Fire,Justified,155,100,2 Atk,213,Brown,,M (75%),Field,,75,1250000,Fire Stone,128,,,
65,60,Poliwag,40,50,40,40,40,90,300,Water,,NU,Water Absorb,Damp,Swift Swim,12.4,40,1 Spe,77,Blue,5120,Neutral,Water 1,,255,1059860,,72,,,
66,61,Poliwhirl,65,65,65,50,50,90,385,Water,,NU,Water Absorb,Damp,Swift Swim,20,40,2 Spe,131,Blue,,Neutral,Water 1,,120,1059860,Lv. 25,73,,,
67,62,Poliwrath,90,85,95,70,90,70,500,Water,Fighting,RU,Water Absorb,Damp,Swift Swim,54,80,3 Def,185,Blue,,Neutral,Water 1,,45,1059860,Water Stone,74,,,
69,63,Abra,25,20,15,105,55,90,310,Psychic,,NU,Synchronize,Inner Focus,Magic Guard,19.5,40,1 SpA,75,Brown,5120,M (75%),Human-Like,,200,1059860,,89,39,20,
70,64,Kadabra,40,35,30,120,70,105,400,Psychic,,NU,Synchronize,Inner Focus,Magic Guard,56.5,80,2 SpA,145,Brown,,M (75%),Human-Like,,100,1059860,Lv. 16,90,40,21,
71,65,Alakazam,55,50,45,135,85,120,490,Psychic,,RU,Synchronize,Inner Focus,Magic Guard,48,60,3 SpA,186,Brown,,M (75%),Human-Like,,50,1059860,Trade,91,41,22,
72,66,Machop,70,80,50,35,35,35,305,Fighting,,NU,Guts,No Guard,Steadfast,19.5,40,1 Atk,75,Gray,5120,M (75%),Human-Like,,180,1059860,,140,73,40,
73,67,Machoke,80,100,70,50,60,45,405,Fighting,,NU,Guts,No Guard,Steadfast,70.5,80,2 Atk,146,Gray,,M (75%),Human-Like,,90,1059860,Lv. 28,141,74,41,
74,68,Machamp,90,130,80,65,85,55,505,Fighting,,OU,Guts,No Guard,Steadfast,130,100,3 Atk,193,Gray,,M (75%),Human-Like,,45,1059860,Trade,142,75,42,
75,69,Bellsprout,50,75,35,70,30,40,300,Grass,Poison,NU,Chlorophyll,,Gluttony,4,20,1 Atk,84,Green,5120,Neutral,Grass,,255,1059860,,64,,,
76,70,Weepinbell,65,90,50,85,45,55,390,Grass,Poison,NU,Chlorophyll,,Gluttony,6.4,20,2 Atk,151,Green,,Neutral,Grass,,120,1059860,Lv. 21,65,,,
77,71,Victreebel,80,105,65,100,60,70,480,Grass,Poison,UU,Chlorophyll,,Gluttony,15.5,40,3 Atk,191,Green,,Neutral,Grass,,45,1059860,Leaf Stone,66,,,
78,72,Tentacool,40,40,35,50,100,70,335,Water,Poison,NU,Clear Body,Liquid Ooze,Rain Dish,45.5,60,1 SpD,105,Blue,5120,Neutral,Water 3,,190,1250000,,162,66,136,
79,73,Tentacruel,80,70,65,80,120,100,515,Water,Poison,OU,Clear Body,Liquid Ooze,Rain Dish,55,80,2 SpD,205,Blue,,Neutral,Water 3,,60,1250000,Lv. 30,163,67,137,
80,74,Geodude,40,80,100,30,30,20,300,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,20,40,1 Def,73,Brown,3840,Neutral,Mineral,,255,1059860,,34,57,31,
81,75,Graveler,55,95,115,45,45,35,390,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,105,100,2 Def,134,Brown,,Neutral,Mineral,,120,1059860,Lv. 25,35,58,32,
82,76,Golem,80,110,130,55,65,45,485,Rock,Ground,NU,Rock Head,Sturdy,Sand Veil,300,120,3 Def,177,Brown,,Neutral,Mineral,,45,1059860,Trade,36,59,33,
83,77,Ponyta,50,85,55,65,65,90,410,Fire,,NU,Run Away,Flash Fire,Flame Body,30,60,1 Spe,152,Yellow,5120,Neutral,Field,,190,1000000,,201,,77,
84,78,Rapidash,65,100,70,80,80,105,500,Fire,,NU,Run Away,Flash Fire,Flame Body,95,80,1 Spe,192,Yellow,,Neutral,Field,,60,1000000,Lv. 40,202,,78,
85,79,Slowpoke,90,65,65,40,40,15,315,Water,Psychic,NU,Oblivious,Own Tempo,Regenerator,36,60,1 HP,99,Pink,5120,Neutral,Monster,Water 1,190,1000000,,80,,,
86,80,Slowbro,95,75,110,100,80,30,490,Water,Psychic,UU,Oblivious,Own Tempo,Regenerator,78.5,80,2 Def,164,Pink,,Neutral,Monster,Water 1,75,1000000,Lv. 37,81,,,
88,81,Magnemite,25,35,70,95,55,45,325,Electric,Steel,NU,Magnet Pull,Sturdy,Analytic,6,20,1 SpA,89,Gray,5120,None,Mineral,,190,1000000,,118,82,178,
89,82,Magneton,50,60,95,120,70,70,465,Electric,Steel,NU,Magnet Pull,Sturdy,Analytic,60,80,2 SpA,161,Gray,,None,Mineral,,60,1000000,Lv. 30,119,83,179,
91,83,Farfetch'd,52,65,55,58,62,60,352,Normal,Flying,NU,Keen Eye,Inner Focus,Defiant,15,40,1 Atk,94,Brown,5120,Neutral,Flying,Field,45,1000000,N,158,,,
92,84,Doduo,35,85,45,35,35,75,310,Normal,Flying,NU,Run Away,Early Bird,Tangled Feet,39.2,60,1 Atk,96,Brown,5120,Neutral,Flying,,190,1000000,,199,92,,
93,85,Dodrio,60,110,70,60,60,100,460,Normal,Flying,NU,Run Away,Early Bird,Tangled Feet,85.2,80,2 Atk,158,Brown,,Neutral,Flying,,45,1000000,Lv. 31,200,93,,
94,86,Seel,65,45,55,45,70,45,325,Water,,NU,Thick Fat,Hydration,Ice Body,90,80,1 SpD,100,White,5120,Neutral,Water 1,Field,190,1000000,,176,,,
95,87,Dewgong,90,70,80,70,95,70,475,Water,Ice,NU,Thick Fat,Hydration,Ice Body,120,100,2 SpD,176,White,,Neutral,Water 1,Field,75,1000000,Lv. 34,177,,,
96,88,Grimer,80,80,50,40,50,25,325,Poison,,NU,Stench,Sticky Hold,Poison Touch,30,60,1 HP,90,Purple,5120,Neutral,Amorphous,,190,1000000,,116,106,,
97,89,Muk,105,105,75,65,100,50,500,Poison,,NU,Stench,Sticky Hold,Poison Touch,30,60,1 HP/1 Atk,157,Purple,,Neutral,Amorphous,,75,1000000,Lv. 38,117,107,,
98,90,Shellder,30,65,100,45,25,40,305,Water,,NU,Shell Armor,Skill Link,Overcoat,4,20,1 Def,97,Purple,5120,Neutral,Water 3,,190,1250000,,169,,,
99,91,Cloyster,50,90,180,85,45,70,520,Water,Ice,OU,Shell Armor,Skill Link,Overcoat,132.5,100,2 Def,203,Purple,,Neutral,Water 3,,60,1250000,Water Stone,170,,,
100,92,Gastly,30,35,30,100,35,80,310,Ghost,Poison,NU,Levitate,,,0.1,20,1 SpA,95,Purple,5120,Neutral,Amorphous,,190,1059860,,58,,69,
101,93,Haunter,45,50,45,115,55,95,405,Ghost,Poison,NU,Levitate,,,0.1,20,2 SpA,126,Purple,,Neutral,Amorphous,,90,1059860,Lv. 25,59,,70,
102,94,Gengar,60,65,60,130,75,110,500,Ghost,Poison,OU,Levitate,,,40.5,60,3 SpA,190,Purple,,Neutral,Amorphous,,45,1059860,Trade,60,,71,
103,95,Onix,35,45,160,30,45,70,385,Rock,Ground,NU,Rock Head,Sturdy,Weak Armor,210,120,1 Def,108,Gray,6140,Neutral,Mineral,,45,1000000,,62,,34,
105,96,Drowzee,60,48,45,43,90,42,328,Psychic,,NU,Insomnia,Forewarn,Inner Focus,32.4,60,1 SpD,102,Yellow,5120,Neutral,Human-Like,,190,1000000,,87,,,
106,97,Hypno,85,73,70,73,115,67,483,Psychic,,NU,Insomnia,Forewarn,Inner Focus,75.6,80,2 SpD,165,Yellow,,Neutral,Human-Like,,75,1000000,Lv. 26,88,,,
107,98,Krabby,30,105,90,25,25,50,325,Water,,NU,Hyper Cutter,Shell Armor,Sheer Force,6.5,20,1 Atk,115,Red,5120,Neutral,Water 3,,225,1000000,,164,,,
108,99,Kingler,55,130,115,50,50,75,475,Water,,NU,Hyper Cutter,Shell Armor,Sheer Force,60,80,2 Atk,206,Red,,Neutral,Water 3,,60,1000000,Lv. 28,165,,,
109,100,Voltorb,40,30,50,55,55,100,330,Electric,,NU,Soundproof,Static,Aftermath,10.4,40,1 Spe,103,Red,5120,None,Mineral,,190,1000000,,120,84,,
110,101,Electrode,60,50,70,80,80,140,480,Electric,,NU,Soundproof,Static,Aftermath,66.6,80,2 Spe,150,Red,,None,Mineral,,60,1000000,Lv. 30,121,85,,
111,102,Exeggcute,60,40,80,60,45,40,325,Grass,Psychic,NU,Chlorophyll,,Harvest,2.5,20,1 Def,98,Pink,5120,Neutral,Grass,,90,1250000,,104,,,
112,103,Exeggutor,95,95,85,125,65,55,520,Grass,Psychic,NU,Chlorophyll,,Harvest,120,100,2 SpA,212,Yellow,,Neutral,Grass,,45,1250000,Leaf Stone,105,,,
113,104,Cubone,50,50,95,40,50,35,320,Ground,,NU,Rock Head,Lightningrod,Battle Armor,6.5,20,1 Def,87,Brown,5120,Neutral,Monster,,190,1000000,,203,,,
114,105,Marowak,60,80,110,50,80,45,425,Ground,,NU,Rock Head,Lightningrod,Battle Armor,45,60,2 Def,124,Brown,,Neutral,Monster,,75,1000000,Lv. 28,204,,,
116,106,Hitmonlee,50,120,53,35,110,87,455,Fighting,,RU,Limber,Reckless,Unburden,49.8,60,2 Atk,139,Brown,,M (100%),Human-Like,,45,1000000,Lv. 20 (Atk>Def),144,,,
117,107,Hitmonchan,50,105,79,35,110,76,455,Fighting,,RU,Keen Eye,Iron Fist,Inner Focus,50.2,80,2 SpD,140,Brown,,M (100%),Human-Like,,45,1000000,Lv. 20 (Atk<Def),145,,,
119,108,Lickitung,90,55,75,60,75,30,385,Normal,,NU,Own Tempo,Oblivious,Cloud Nine,65.5,80,2 HP,127,Pink,5120,Neutral,Monster,,45,1000000,,178,,161,
121,109,Koffing,40,65,95,60,45,35,340,Poison,,NU,Levitate,,,1,20,1 Def,114,Purple,5120,Neutral,Amorphous,,190,1000000,,114,108,,
122,110,Weezing,65,90,120,85,70,60,490,Poison,,RU,Levitate,,,9.5,20,2 Def,173,Purple,,Neutral,Amorphous,,60,1000000,Lv. 35,115,109,,
123,111,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock,NU,Lightningrod,Rock Head,Reckless,115,100,1 Def,135,Gray,5120,Neutral,Monster,Field,120,1250000,,206,169,186,
124,112,Rhydon,105,130,120,45,45,40,485,Ground,Rock,NU,Lightningrod,Rock Head,Reckless,120,100,2 Atk,204,Gray,,Neutral,Monster,Field,60,1250000,Lv. 42,207,170,187,
127,113,Chansey,250,5,5,35,105,50,450,Normal,,UU,Natural Cure,Serene Grace,Healer,34.6,60,2 HP,255,Pink,10240,F (100%),Fairy,,30,800000,Morn/Day Fr. h/ Oval Stone,217,,97,
129,114,Tangela,65,55,115,100,40,60,435,Grass,,RU,Chlorophyll,Leaf Guard,Regenerator,35,60,1 Def,166,Blue,5120,Neutral,Grass,,45,1000000,,179,,181,
131,115,Kangaskhan,105,95,80,40,80,90,490,Normal,,NU,Early Bird,Scrappy,Inner Focus,80,80,2 HP,175,Brown,5120,F (100%),Monster,,45,1000000,N,205,,,
132,116,Horsea,30,40,70,70,25,60,295,Water,,NU,Swift Swim,Sniper,Damp,8,20,1 SpA,83,Blue,5120,Neutral,Water 1,Dragon,225,1000000,,186,184,,
133,117,Seadra,55,65,95,95,45,85,440,Water,,NU,Poison Point,Sniper,Damp,25,40,1 Def/1 SpA,155,Blue,,Neutral,Water 1,Dragon,75,1000000,Lv. 32,187,185,,
135,118,Goldeen,45,67,60,35,50,63,320,Water,,NU,Swift Swim,Water Veil,Lightningrod,15,40,1 Atk,111,Red,5120,Neutral,Water 2,,225,1000000,,78,50,78,
136,119,Seaking,80,92,65,65,80,68,450,Water,,NU,Swift Swim,Water Veil,Lightningrod,39,60,2 Atk,170,Red,,Neutral,Water 2,,60,1000000,Lv. 33,79,51,79,
137,120,Staryu,30,45,55,70,55,85,340,Water,,NU,Illuminate,Natural Cure,Analytic,34.5,60,1 Spe,106,Brown,5120,None,Water 3,,225,1250000,,167,143,,
138,121,Starmie,60,75,85,100,85,115,520,Water,Psychic,OU,Illuminate,Natural Cure,Analytic,80,80,2 Spe,207,Purple,,None,Water 3,,60,1250000,Water Stone,168,144,,
140,122,Mr. Mime,40,45,65,100,120,90,460,Psychic,,NU,Soundproof,Filter,Technician,54.5,80,2 SpD,136,Pink,6400,Neutral,Human-Like,,45,1000000,Level w/ Mimic,156,,95,
141,123,Scyther,70,110,80,55,80,105,500,Bug,Flying,RU,Swarm,Technician,Steadfast,56,80,1 Atk,187,Green,6400,Neutral,Bug,,45,1000000,,110,,195,
144,124,Jynx,65,50,35,115,95,95,455,Ice,Psychic,NU,Oblivious,Forewarn,Dry Skin,40.6,60,2 SpA,137,Red,,F (100%),Human-Like,,45,1000000,Lv. 30,153,,,
146,125,Electabuzz,65,83,57,95,85,105,490,Electric,,NU,Static,,Vital Spirit,30,60,2 Spe,156,Yellow,,M (75%),Human-Like,,45,1000000,Lv. 30,155,,198,
149,126,Magmar,65,95,57,100,85,93,495,Fire,,NU,Flame Body,,Vital Spirit,44.5,60,2 SpA,167,Red,,M (75%),Human-Like,,45,1000000,Lv. 30,151,,201,
151,127,Pinsir,65,125,100,55,70,85,500,Bug,,NU,Hyper Cutter,Mold Breaker,Moxie,55,80,2 Atk,200,Brown,6400,Neutral,Bug,,45,1250000,N,112,167,,
152,128,Tauros,75,100,95,40,70,110,490,Normal,,NU,Intimidate,Anger Point,Sheer Force,88.4,80,1 Atk/1 Spe,211,Brown,5120,M (100%),Field,,45,1250000,N,148,,,
153,129,Magikarp,20,10,55,15,20,80,200,Water,,NU,Swift Swim,,Rattled,10,20,1 Spe,20,Red,1280,Neutral,Water 2,Dragon,255,1250000,,76,52,23,
154,130,Gyarados,95,125,79,60,100,81,540,Water,Flying,OU,Intimidate,,Moxie,235,120,2 Atk,214,Blue,,Neutral,Water 2,Dragon,45,1250000,Lv. 20,77,53,24,
155,131,Lapras,130,85,80,85,95,60,535,Water,Ice,NU,Water Absorb,Shell Armor,Hydration,220,120,2 HP,219,Blue,10240,Neutral,Monster,Water 1,45,1250000,N,219,,,
156,132,Ditto,48,48,48,48,48,48,288,Normal,,NU,Limber,,Imposter,4,20,1 HP,61,Purple,,None,Ditto,,35,1000000,N,92,,,
157,133,Eevee,55,55,50,45,65,55,325,Normal,,NU,Run Away,Adaptability,Anticipation,6.5,20,1 SpD,92,Brown,8960,M (87.5%),Field,,45,1000000,,180,,163,
158,134,Vaporeon,130,65,60,110,95,65,525,Water,,OU,Water Absorb,,Hydration,29,60,2 HP,196,Blue,,M (87.5%),Field,,45,1000000,Water Stone,181,,164,
159,135,Jolteon,65,65,60,110,95,130,525,Electric,,UU,Volt Absorb,,Quick Feet,24.5,40,2 Spe,197,Yellow,,M (87.5%),Field,,45,1000000,Thunderstone,182,,165,
160,136,Flareon,65,130,60,95,110,65,525,Fire,,NU,Flash Fire,,Guts,25,40,2 Atk,198,Red,,M (87.5%),Field,,45,1000000,Fire Stone,183,,166,
165,137,Porygon,65,60,70,85,75,40,395,Normal,,NU,Trace,Download,Analytic,36.5,60,1 SpA,130,Pink,5120,None,Mineral,,45,1000000,,215,,192,
168,138,Omanyte,35,40,100,90,55,35,355,Rock,Water,NU,Swift Swim,Shell Armor,Weak Armor,7.5,20,1 Def,99,Blue,7680,M (87.5%),Water 1,Water 3,45,1000000,,220,,,
169,139,Omastar,70,60,125,115,70,55,495,Rock,Water,RU,Swift Swim,Shell Armor,Weak Armor,35,60,2 Def,199,Blue,,M (87.5%),Water 1,Water 3,45,1000000,Lv. 40,221,,,
170,140,Kabuto,30,80,90,55,45,55,355,Rock,Water,NU,Swift Swim,Battle Armor,Weak Armor,11.5,40,1 Def,99,Brown,7680,M (87.5%),Water 1,Water 3,45,1000000,,222,,,
171,141,Kabutops,60,115,105,65,70,80,495,Rock,Water,NU,Swift Swim,Battle Armor,Weak Armor,40.5,60,2 Atk,199,Brown,,M (87.5%),Water 1,Water 3,45,1000000,Lv. 40,223,,,
172,142,Aerodactyl,80,105,65,60,75,130,515,Rock,Flying,UU,Rock Head,Pressure,Unnerve,59,80,2 Spe,202,Purple,8960,M (87.5%),Flying,,45,1250000,N,224,,,
174,143,Snorlax,160,110,65,65,110,30,540,Normal,,UU,Immunity,Thick Fat,Gluttony,460,120,2 HP,154,Black,10240,M (87.5%),Monster,,25,1250000,Friendship,225,,113,
